Satellite_Names,Country_of_Operator_Owner,Operator_Owner,Users_Names,Purpose,Orbit_Classes,Orbit_Types,Perigee_km,Apogee_km,Inclination_degrees,Period_minutes,Launch_Mass_km,Dry_Mass_kg,Power_watts,Launch_Date,Expected_Lifetime_years,Contractors_Names,Contractors_Country_Names,Launch_Site,Launch_Vehicle,COSPAR_Number,NORAD_Number,Comments
Iridium Next SV 171,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,609,626,86.7,97,860,678,50,1/11/2019,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2019-002H,43929,Not Available
Iridium Next SV 172,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,608,626,86.7,97,860,678,50,1/11/2019,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2019-002F,43927,Not Available
Iridium Next SV 173,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,608,626,86.7,97,860,678,50,1/11/2019,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2019-002D,43925,Not Available
Iridium Next SV 175,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,611,625,86.7,97,860,678,50,1/11/2019,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2019-002G,43928,Not Available
Iridium Next SV 176,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,611,626,86.7,97,860,678,50,1/11/2019,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2019-002B,43923,Not Available
Iridium Next SV 180,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,611,626,86.7,97,860,678,50,1/11/2019,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2019-002A,43922,Not Available
IRIS (Interface Region Imaging Spectrometer),USA,National Aeronautics and Space Administration (NASA),Government,Space Science,LEO,Sun-Synchronous,620,664,97.9,97.5,236,678,50,6/28/2013,2,Lockheed Martin Space Systems Advanced Technology Center (ATC),USA,Vandenberg AFB,L1011,2013-033A,39197,"Investigate the sun's corona, solar wind and atmosphere"
IRNSS-1B (Indian Regional Navigation Satellite System),India,Indian Space Research Organization (ISRO),Government,Navigation/Regional Positioning,GEO,Not Available,"35,695","35,880",30.97,1436.14,"1,432",615,"1,660",4/4/2014,12,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV,2014-017A,39635,Not Available
"Mercury 3 (NROL 67, USA 250)",USA,National Reconnaissance Office (NRO)/US Air Force,Military,Earth Observation,GEO,Not Available,"35,500","35,500",7,1436,"3,900",0,0,4/10/2014,0,Unknown,USA,Cape Canaveral,Atlas 5,2014-020A,39652,Speculated to be a new SIGINT satellite - not verified.
KazSat-3,Kazakhstan,JSC KazSat,Commercial,Communications,GEO,Not Available,"35,784","35,789",0.12,1436.08,0,0,"5,500",4/28/2014,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Proton M,2014-023B,39728,"Communications satellite for Kazakhstan to provide point-to-point links, TV and high-speed Internet."
