Orig_Sequence,Satellite_Names,Launch_Date,Country_of_Operator_Owner,Launch_Site,Operator_Owner,Purpose,Orbit_Classes,Period_Hours,Period_minutes,Launch_Mass_km
23,Aerocube 10A (Jimsat),2019-08-09,USA,Cygnus,Aerospace Corporation,Technology Development,LEO,1.57,94.15,2
24,Aerocube 10B (Dougsat),2019-08-09,USA,Cygnus,Aerospace Corporation,Technology Development,LEO,1.57,94.15,2
25,Aerocube 11A (TOMSat Eagle Scout),2018-12-17,USA,Rocket Lab Launch Complex 1,Aerospace Corporation,Technology Development,LEO,1.58,94.6,4
26,Aerocube 11B (TOMSat R3),2018-12-17,USA,Rocket Lab Launch Complex 1,Aerospace Corporation,Technology Development,LEO,1.58,94.6,4
27,Aerocube 12A,2018-07-16,USA,Cygnus,Aerospace Corporation,Technology Development,LEO,1.57,94.2,4
28,Aerocube 12B,2018-07-16,USA,Cygnus,Aerospace Corporation,Technology Development,LEO,1.57,94.2,4
29,Aerocube 14A,2020-01-31,USA,Cygnus,Aerospace Corporation,Technology Development,LEO,1.57,93.9,0
30,Aerocube 14B,2020-01-31,USA,Cygnus,Aerospace Corporation,Technology Development,LEO,1.57,93.9,0
31,Aerocube 15A,2020-01-31,USA,Cygnus,Aerospace Corporation,Technology Development,LEO,1.57,93.9,0
32,Aerocube 5C,2015-10-08,USA,Vandenberg AFB,Aerospace Corporation,Technology Development,LEO,1.63,97.74,2
33,Aerocube 6A,2014-06-19,USA,Dombarovsky Air Base,Aerospace Corporation,Technology Development,LEO,1.63,97.88,5
34,Aerocube 6B,2014-06-19,USA,Dombarovsky Air Base,Aerospace Corporation,Technology Development,LEO,1.63,97.88,5
35,Aerocube 7A,2015-10-08,USA,Vandenberg AFB,Aerospace Corporation,Technology Development,LEO,1.62,97.4,2
36,Aerocube 8A,2015-05-20,USA,Cape Canaveral,Aerospace Corporation,Technology Development,LEO,1.59,95.19,5
37,Aerocube 8B,2015-05-20,USA,Cape Canaveral,Aerospace Corporation,Technology Development,LEO,1.59,95.19,5
38,Aerocube 8D,2016-11-11,USA,Vandenberg AFB,Aerospace Corporation,Technology Development,LEO,1.6,96.23,2
39,"AMC-2 (Americom 2, GE-2)",1997-01-30,USA,Guiana Space Center,SES S.A.,Communications,GEO,23.94,1436.1,"2,648"
40,AIM (Aeronomy of Ice in Mesosphere),2007-04-25,USA,Vandenberg AFB,"Center for Atmospheric Sciences, Hampton University/NASA",Earth Observation,LEO,1.6,96.2,215
41,AISat-1,2014-06-30,Germany,Satish Dhawan Space Centre,German Aerospace Center (DLR),Communications,LEO,1.63,97.76,14
42,AISSat-1 (Automatic Identification System Satellite-1),2010-07-12,Norway,Satish Dhawan Space Centre,Norwegian Coastal Admnistration,Communications,LEO,1.62,97.2,6
43,AISSat-2 (Automatic Identification System Satellite-2),2014-07-08,Norway,Baikonur Cosmodrome,Norwegian Coastal Admnistration,Communications,LEO,1.62,97.27,6
44,AIST-1,2013-12-28,Russia,Plesetsk Cosmodrome,"Samara State Aerospace University, SGAU",Technology Development,LEO,1.62,96.9,0
