Satellite_Names,Launch_Date,Country_of_Operator_Owner,Purpose,Orbit_Classes,Orbit_Types,Period_minutes,Launch_Mass_km,Dry_Mass_kg,Expected_Lifetime_years,Contractors_Country_Names,Launch_Site,Launch_Vehicle,COSPAR_Number,NORAD_Number,Comments,names,count
"Intelsat 12 (Europe*Star 1, Europe*Star FM1, IS-12, PAS-12)",10/29/2000,USA,Communications,GEO,Not Available,1436.09,"4,167","1,729",18,France,Guiana Space Center,Ariane 44LP,2000-068A,26590,30 Ku-band; highest powered Ku-band cross connection between South East Asia and Europe.,,
"Intelsat 1R (IS-1R, PAS-1R, PanAmSat 1R)",11/15/2000,USA,Communications,GEO,Not Available,1436.11,"4,793","3,000",15,USA,Guiana Space Center,Ariane 5,2000-072A,26608,"36 C-band, 36 Ku-band; direct-to-home (DTH) digital video and Internet services; Americas, Caribbean, Europe, Africa; will be replaced by Intelsat 14.",,
Anik F1 ,11/21/2000,Canada,Communications,GEO,Not Available,1436.08,"4,710","2,950",15,USA,Guiana Space Center,Ariane 44L,2000-076A,26624,Not Available,,
"AMC-8 (Americom-8, GE-8, Aurora 3)",12/19/2000,USA,Communications,GEO,Not Available,1436.07,"2,015",919,15,USA,Guiana Space Center,Ariane 5G,2000-081B,26639,"Cable television and radio programming; 24 C-band; CONUS, Alaska, Hawaii, Caribbean",,
Astra 2D,12/19/2000,Luxembourg,Communications,GEO,Not Available,1436.1,"1,420",700,15,USA,Guiana Space Center,Ariane 5G,2000-081A,26638,"Direct-to-home; broadcasting, multimedia; 16 Ku-band; UK and Ireland.",,
Sicral 1A ,2/7/2001,Italy,Communications,GEO,Not Available,1436.06,"2,596","1,263",12,Italy,Guiana Space Center,Ariane 44L,2001-005A,26694,"Italy's first military satellite; communications to fixed and mobile terminals. Extremely High Frequency (EHF), SHF, UHF broadcast frequencies. On-board failure in 2006, but operations recovered.",,
ASNARO 1 (Advanced Satellite with New system Architecture for Observation),11/6/2014,Japan,Earth Observation,LEO,Sun-Synchronous,94.75,500,0,3,Japan,Dombarovsky Air Base,Dnepr,2014-070A,40298,Japanese optical high-resolution Earth imaging mission under development by the NEC Corporation and USEF (Institute for Unmanned Space Experiment Free Flyer).,,
ASNARO 2 (Advanced Satellite with New system Architecture for Observation),1/17/2018,Japan,Earth Observation,LEO,Sun-Synchronous,94.5,570,0,3,Japan,Uchinoura Space Center,Epsilon,2018-007A,43152,X-band radar.,,
ASTERIA ( (Arcsecond Space Telescope Enabling Research in Astrophysics),11/20/2017,USA,Technology Development,LEO,Non-Polar Inclined,92.6,12,0,1,USA,International Space Station,Nanorack Deployer,1998-067NH,43020,"Technology demonstration of astrophysical measurements using a Cubesat, with a primary goal of training early-career engineers.",,
"Milstar DFS-4 (USA 157, Milstar 2-F2) (Military Strategic and Tactical Relay)",2/27/2001,USA,Communications,GEO,Not Available,1435.04,"4,536",0,12,USA,Cape Canaveral,Titan 4B,2001-009A,26715,"Voice communication, data, imagery and video; survivable global military communication system. ""World's most secure, nuclear survivable, space-based communication system.""",,
"Eutelsat 133 West A (Eutelsat 33C, Eutelsat 28A, Eurobird 1, Eurosat 1)",3/8/2001,Multinational,Communications,GEO,Not Available,1436.1,"2,950","1,375",12,France,Guiana Space Center,Ariane 5,2001-011A,26719,Twenty-four channels; Western and Central Europe as far west as Canary Islands.,,
Intelsat 10 (PAS-10),5/14/2001,USA,Communications,GEO,Not Available,1436.08,"3,739","2,510",15,USA,Baikonur Cosmodrome,Proton,2001-019A,26766,"Direct-to-home video channels; 24 C-band, 24 Ku-band; Asia, Africa, Middle East, Europe.",,
Intelsat 901 ,6/9/2001,USA,Communications,GEO,Not Available,1436.12,"4,723","1,972",13,USA,Cape Canaveral,Atlas 2AS,2001-024A,26824,"72 C-band, 22 Ku-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Atlantic Ocean region. Life extension with MEV-1 in 2020.",,
Astra 2C ,6/16/2001,Luxembourg,Communications,GEO,Not Available,1436.12,"3,643","2,000",15,USA,Baikonur Cosmodrome,Proton K,2001-025A,26853,"Direct-to-home; broadcasting, multimedia; 32 transponders for first five years; 28 after, continental Europe",,
DSP 21 (USA 159) (Defense Support Program),8/6/2001,USA,Earth Observation,GEO,Not Available,1436.14,"2,380",0,9,USA,Cape Canaveral,Titan 4B,2001-033A,26880,Infrared sensors to detect heat from missile and booster plumes against earth's background; detection capability of smaller missiles; improved warning of attack by short-range missiles against U.S. and allied forces.,,
Intelsat 902 ,8/30/2001,USA,Communications,GEO,Not Available,1436.1,"4,723","1,972",13,USA,Guiana Space Center,Ariane 44L,2001-039A,26900,"76 C-band, 22 Ku-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Indian Ocean region.",,
"Eutelsat 12 West B (Eutelsat 8 West A, Atlantic Bird 2) ",9/25/2001,Multinational,Communications,GEO,Not Available,1436.1,"3,150","1,368",15,France,Guiana Space Center,Ariane 4,2001-042A,26927,European and American coverage.,,
"Milstar DFS-5 (USA 164, Milstar 2-F3) (Military Strategic and Tactical Relay)",1/16/2002,USA,Communications,GEO,Not Available,1436.12,"4,536",0,12,USA,Cape Canaveral,Titan 4B,2002-001A,27168,"Voice communication, data, imagery and video; survivable global military communication system. ""World's most secure, nuclear survivable, space-based communication system.""",,
Echostar 7 ,2/21/2002,USA,Communications,GEO,Not Available,1436.07,"4,027","2,200",12,USA,Cape Canaveral,Atlas 3B,2002-006A,27378,"CONUS, Hawaii, Alaska and Puerto Rico; 32 Ku-band transponders",,
Intelsat 904 ,2/23/2002,USA,Communications,GEO,Not Available,1436.07,"4,680","2,350",13,USA,Baikonur Cosmodrome,Proton K,2002-007A,27380,"76 C-band, 22 Ku-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Indian Ocean region.",,
"TDRS-9 (Tracking and Data Relay Satellite, TDRS-I)",3/8/2002,USA,Communications,GEO,Not Available,1436.11,"3,180","1,600",11,USA,Cape Canaveral,Atlas 2A,2002-011A,27389,"Tracking and communications with space shuttle, other missions. In storage.",,
Astra 3A ,3/29/2002,Luxembourg,Communications,GEO,Not Available,1436.07,"1,500",750,10,USA,Guiana Space Center,Ariane 44L,2002-015B,27400,"20 transponders; provide follow-on capacity for the Kopernikus satellite of Deutsche Telekom AG, contracted for 10 transponders on spacecraft; German-speaking countries of Germany, Austria and Switzerland.",,
"JCSat 2A (JCSAT 8, Japan Communications Satellite 8)",3/29/2002,Japan,Communications,GEO,Not Available,1436.1,"2,500","1,460",11,USA,Guiana Space Center,Ariane 44L,2002-015A,27399,"16 C-band, 16 Ku-band; coverage to Japan< East Asia, Australia and Hawaii.",,
Intelsat 903 ,3/30/2002,USA,Communications,GEO,Not Available,1436.16,"4,723","1,972",13,USA,Guiana Space Center,Ariane 44L,2002-016A,27403,"76 C-band, 22 Ku-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Atlantic Ocean region.",,
NSS-7 ,4/16/2002,Netherlands,Communications,GEO,Not Available,1436.12,"4,500","2,500",14,USA,Guiana Space Center,Ariane 42L,2002-019A,27414,"36 C-band, 36 Ku-band; broadcasting, business services; Europe, Africa, the Middle East, the Americas.",,
DirecTV-5 (Tempo 1),5/7/2002,USA,Communications,GEO,Not Available,1436.08,"4,300","3,640",15,USA,Baikonur Cosmodrome,Proton K,2002-023A,27426,Digital television to North American subscribers; 32 Ku-band; direct broadcasting.,,
Astranis Demosat-2,1/11/2018,USA,Technology Development,LEO,Sun-Synchronous,94.5,0,0,0,USA,Satish Dhawan Space Centre,PSLV,2018-004S,43127,Pathfinder for Astranis' small GEO satellites.,,
Astrocast 0.1,12/3/2018,Switzerland,Communications,LEO,Sun-Synchronous,96.3,4,0,0,Switzerland,Vandenberg AFB,Falcon 9,2018-099AS,43798,Part of Spaceflight SSO-A mission. ,,
Astrocast 0.2,4/1/2019,Switzerland,Communications,LEO,Sun-Synchronous,94.6,4,0,0,Switzerland,Satish Dhawan Space Centre,PSLV,2019-018F,44083,Astrocast 02 is meant to blaze a trail for IoT (Internet of Things) applications to be offered by Switzerland's Astrocast venture.,,
Astrosat,9/28/2015,India,Space Science,LEO,Equatorial,97.54,230,0,5,India,Satish Dhawan Space Centre,PSLV C-30,2015-052A,40930,India's first space observatory.,,
Intelsat 905 ,6/5/2002,USA,Communications,GEO,Not Available,1436.12,"4,723","1,984",13,USA,Guiana Space Center,Ariane 44L,2002-027A,27438,"76 C-band, 22 Ku-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Atlantic Ocean region.",,
Galaxy-3C,6/15/2002,USA,Communications,GEO,Not Available,1436.11,"4,860","2,873",15,USA,Sea Launch Odyssey,Zenit 3SL,2002-030A,27445,"Direct-to-home broadcast of video and Internet; 24 C-band, 16 Ku-band; North America. DirecTV leases transponders for broadcast to Latin America.",,
Athenoxat-1 ((Athene Noctua Experimental Satellite) ,12/16/2015,Singapore,Technology Development,LEO,Equatorial,95.46,6,0,0,Singapore,Satish Dhawan Space Centre,PSLV-C29,2015-077C,41168,Technology demonstrator nanosatellite for Earth remote sensing.,,
"ATL-1 (Advanced Technology of Laser, Magyar-OSCAR 106, MO-106)",12/6/2019,Hungary,Technology Development,LEO,Sun-Synchronous,92,1,0,0,Hungary,Rocket Lab Launch Complex 1,Electron,2019-084H,44830,5 cm by 5 cm picosat.,,
Aurora  (Tabletsat-2U-EO),6/19/2014,Russia,Technology Development,LEO,Sun-Synchronous,96.7,25,0,1,Russia,Dombarovsky Air Base,Dnepr,2014-033H,40017,Technology demonstration and testing of new satellite bus to be used for first commercial Russian remote sensing.,,
"Eutelsat 5 West A (Atlantic Bird 3, Stellat 5)",7/5/2002,Multinational,Communications,GEO,Not Available,1436.08,"4,050","1,805",15,France,Guiana Space Center,Ariane 5,2002-035A,27460,"45 transponders; Ku and C-band frequencies, Americas, Europe and Africa.",,
N-Star C ,7/5/2002,Japan,Communications,GEO,Not Available,1436.08,"1,625",800,15,USA,Guiana Space Center,Ariane 5,2002-035B,27461,Multimedia services.,,
AztecSat-1,2/19/2020,USA/Mexico,Technology Development,LEO,Non-Polar Inclined,92.9,2,0,0,USA/Mexico,International Space Station,Nanorack Deployer,1998-067RA,45257,Built collaboratively by NASA and the Mexican Space Agency. Designed to demonstrate inter-satellite communication using satellites in the Globalstar constellation.,,
"Meteosat 8 (MSGalaxy-1, MSG-1)",8/21/2002,Multinational,Earth Observation,GEO,Not Available,1436.1,"2,000","1,000",12,France,Guiana Space Center,Ariane 5,2002-040B,27509,Meteorological spacecraft; intended primarily to support the National Meteorological Services (NMS) of Member States; planned system of 3 satellites,,
Intelsat 906 ,9/6/2002,USA,Communications,GEO,Not Available,1436.07,"4,723","1,955",13,USA,Guiana Space Center,Ariane 44L,2002-041A,27513,"72 C-band, 22 Ku-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks.",,
"DRTS (Data Relay Test Satellite, Kodama)",9/10/2002,Japan,Technology Development,GEO,Not Available,1436.12,"2,650","1,500",7,Japan,Tanegashima Space Center,H2A,2002-042B,27516,Develop more advanced data relay  by improving the technology for the Communications and Broadcasting Engineering Satellite (COMETS).,,
Hispasat 1D ,9/18/2002,Spain,Communications,GEO,Not Available,1436.11,"3,288","1,382",15,France,Cape Canaveral,Atlas 2AS,2002-044A,27528,"Fourth of Spain's communications satellites with government, commercial and military application; X-band heavily used; 28 Ku-band transponders.",,
"TDRS-10 (Tracking and Data Relay Satellite, TDRS-J)",12/4/2002,USA,Communications,GEO,Not Available,1436.04,"3,180","1,600",11,USA,Cape Canaveral,Atlas 2A,2002-055A,27566,"Tracking and communications with space shuttle, other missions.",,
NSS-6 ,12/17/2002,Netherlands,Communications,GEO,Not Available,1436.12,"4,575","2,600",0,USA,Guiana Space Center,Ariane 4,2002-057A,27603,"Asia, Australia, Africa, Middle East; 50 Ku-band.",,
BARS-M (Cosmos 2503),2/27/2015,Russia,Earth Observation,LEO,Sun-Synchronous,96.1,"4,000",0,5,Russia,Plesetsk Cosmodrome,Soyuz-2.1b,2015-009A,40420,Electronic intelligence gathering (ELINT).,,
BARS-M (Cosmos 2515),3/24/2016,Russia,Earth Observation,LEO,Sun-Synchronous,96.1,"4,000",0,5,Russia,Plesetsk Cosmodrome,Soyuz 2.1a,2016-020A,41394,Not Available,,
BDSAGR-1,12/21/2019,China,Earth Observation,LEO,Sun-Synchronous,97.1,40,0,3,China,Taiyuan Space Center,Long March 4B,2019-093A,44879,Not Available,,
Beesat-9 (Tubsat-17),7/5/2019,Germany,Technology Development,LEO,Sun-Synchronous,95.2,1,0,0,Germany,Vostochny Cosmodrome,Soyuz 2.1b,2019-038AC,44412,"Student built, will test an attitude control system.",,
Beidou 2-12 (Compass M3),4/28/2012,China,Navigation/Global Positioning,MEO,Non-Polar Inclined,773.19,"2,200",0,8,China,Xichang Satellite Launch Center,Long March 3B,2012-018A,38250,Part of Beidou constellation.,,
Beidou 2-13 (Compass M4),4/28/2012,China,Navigation/Global Positioning,MEO,Non-Polar Inclined,773.21,"2,200",0,8,China,Xichang Satellite Launch Center,Long March 3B,2012-018B,38251,Part of Beidou constellation.,,
Beidou 2-15 (Compass M6),9/18/2012,China,Navigation/Global Positioning,MEO,Non-Polar Inclined,773.1,"3,800",0,8,China,Xichang Satellite Launch Center,Long March 3B,2012-050B,38775,Not Available,,
Nimiq 2 ,12/29/2002,Canada,Communications,GEO,Not Available,1436.08,"3,600","1,700",12,USA,Baikonur Cosmodrome,Proton,2002-062A,27632,"Television broadcast;  32 Ku-band, 2 Ka-band.",,
Intelsat 907 ,2/15/2003,USA,Communications,GEO,Not Available,1436.1,"4,685","1,973",13,USA,Guiana Space Center,Ariane 44L,2003-007A,27683,"76 C-band transponders; business, video, internet.",,
"DSCS III-A3 (USA 167, DSCS III-A3) (Defense Satellite Communications System)",3/11/2003,USA,Communications,GEO,Not Available,1436.12,"1,156",884,10,USA,Cape Canaveral,Atlas 2A,2003-008A,27691,"Super High Frequency (SHF) for U.S. government and military; sophisticated survivability enhancement; worldwide, longhaul coverage; X-band.",,
Milstar DFS-6 (USA 169) (Military Strategic and Tactical Relay),4/8/2003,USA,Communications,GEO,Not Available,1436.13,"4,536",0,12,USA,Cape Canaveral,Titan 4B,2003-012A,27711,"Voice communication, data, imagery and video; survivable global military communication system. ""World's most secure, nuclear survivable, space-based communication system.""",,
Galaxy-12,4/9/2003,USA,Communications,GEO,Not Available,1436.07,"1,760",800,15,USA,Guiana Space Center,Ariane 5,2003-013B,27715,"Voice, video and data transmissions; 24 C-band; North and South America.",,
"Hellas-Sat 2 (Intelsat K-TV, NSS K-TV)",5/12/2003,Greece,Communications,GEO,Not Available,1436.08,"3,300",0,15,"France, UK, Germany",Cape Canaveral,Atlas 5,2003-020A,27811,30 Ku-band; television broadcasting services for the 2004 Summer Olympic Games in Athens.,,
Thuraya 2 ,6/10/2003,United Arab Emirates,Communications,GEO,Not Available,1436.07,"5,250","3,200",12,USA,Sea Launch Odyssey,Zenit 3SL,2003-026A,27825,"Capacity for 13,750 simultaneous calls; voice, fax, data transmissions from/to mobile telephones; Middle East, North and Central Africa, Europe, Central Asia and the Indian subcontinent.",,
Optus and Defence C1 ,6/12/2003,Australia,Communications,GEO,Not Available,1436.08,"4,800","2,000",15,USA,Guiana Space Center,Ariane 5G,2003-028B,27831,"50% owned by Defence Ministry; largest hybrid communications and military satellite launched to date; 24 Ku-band, coverage for Australia, New Zealand and East Asia; commercial services in Ku-band (24), military (8) in X-, UHF- and Ka-bands.",,
"Echostar 9/Galaxy 23 (G-23, Intelsat 1A-13, Telstar 13)",8/8/2003,USA,Communications,GEO,Not Available,1436.08,"4,000","2,500",13,USA,Sea Launch Odyssey,Zenit 3SL,2003-034A,27854,"24 C-band, 2 Ka-band, 32 Ku-band; additional C-band payload owned and operated by Loral Skynet.",,
Beidou 3M-1S,7/25/2015,China,Navigation/Global Positioning,MEO,Non-Polar Inclined,773.2,800,280,8,China,Xichang Satellite Launch Center,Long March 3B,2015-037A,40748,Not Available,,
Beidou 3M-2S,7/25/2015,China,Navigation/Global Positioning,MEO,Non-Polar Inclined,773.3,800,280,8,China,Xichang Satellite Launch Center,Long March 3B,2015-037B,40749,Not Available,,
Beidou 3M-3S,2/1/2016,China,Navigation/Global Positioning,MEO,Non-Polar Inclined,773.2,800,280,8,China,Xichang Satellite Launch Center,Long March 3C,2016-006A,41315,Not Available,,
"DSCS III-B6 (USA 170, DSCS III B-6) (Defense Satellite Communications System)",8/29/2003,USA,Communications,GEO,Not Available,1436.1,"1,156",884,10,USA,Cape Canaveral,Delta 4,2003-040A,27875,"Super High Frequency (SHF) for U.S. government and military; sophisticated survivability enhancement; worldwide, longhaul coverage; X-band. ",,
"Advanced Orion 3 (Mentor, NROL 19, USA 171)",9/9/2003,USA,Earth Observation,GEO,Not Available,1436.1,"4,500",0,0,USA,Cape Canaveral,Titan IV,2003-041A,27937,Electronic intelligence (ELINT). ,,
"Galaxy-13 (Horizons 1, Galaxy 13L)",10/1/2003,USA/Japan,Communications,GEO,Not Available,1436.07,"4,060","2,630",15,USA,Sea Launch Odyssey,Zenit 3,2003-044A,27954,Horizons 1 is Ku-band payload; C-band is on Galaxy 13.,,
Yamal-202 ,11/24/2003,Russia,Communications,GEO,Not Available,1436.06,"1,320",0,12,Russia,Baikonur Cosmodrome,Proton K,2003-053A,28089,18 C-band; provide communications for gas corporation operations throughout Eurasian continent.,,
"UFO-11  (USA 174) ""UHF Follow-On""",12/18/2003,USA,Communications,GEO,Not Available,1436.1,"3,200","1,545",4,USA,Cape Canaveral,Atlas 3,2003-057A,28117,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application.,,
DSP 22 (USA 176) (Defense Support Program),2/14/2004,USA,Earth Observation,GEO,Not Available,1436.12,"2,380",0,9,USA,Cape Canaveral,Titan 4B,2004-004A,28158,Infrared sensors to detect heat from missile and booster plumes against earth's background; detection capability of smaller missiles; improved warning of attack by short-range missiles against U.S. and allied forces.,,
